,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17
112,490.01171875,619.96875,5564.875,1353.76171875,2766.6328125,6984405.0,602.84375,669.0390625,795.03125,809.8125,1344.125,8033757.5,2293.625,1614.48828125,1688.5625,2741.84375,1384.15625,2177472.5
113,494.57421875,625.96875,5624.125,1362.38671875,2788.6328125,7046325.0,609.53125,674.0703125,800.46875,814.875,1348.046875,8104220.0,2304.875,1629.17578125,1704.1875,2764.84375,1395.84375,2196941.75
114,498.18359375,631.1875,5666.125,1374.69921875,2815.2578125,7107631.0,615.40625,680.1640625,810.71875,823.125,1361.546875,8174637.0,2328.375,1642.73828125,1721.6875,2782.46875,1407.90625,2216298.25
115,503.99609375,636.40625,5710.125,1386.13671875,2838.6328125,7168842.0,620.53125,685.9453125,819.59375,830.96875,1377.546875,8244953.5,2351.625,1657.17578125,1737.9375,2800.34375,1418.96875,2235742.5
116,509.49609375,639.921875,5759.375,1401.88671875,2862.8828125,7230164.5,626.0,694.7578125,827.09375,838.71875,1391.859375,8315003.5,2373.0,1671.86328125,1752.875,2819.34375,1431.78125,2255270.75
117,513.58984375,644.671875,5808.625,1419.26171875,2885.6328125,7292033.5,631.9375,703.0078125,834.6875,846.5625,1406.109375,8384835.0,2394.375,1686.42578125,1766.625,2844.46875,1444.96875,2274627.5
118,515.65234375,650.015625,5858.125,1433.57421875,2912.3828125,7354249.5,636.75,710.2265625,843.0625,854.0,1420.234375,8454921.0,2417.375,1701.48828125,1785.0,2872.84375,1457.40625,2294014.25
119,516.05078125,655.609375,5896.875,1445.26171875,2938.8828125,7416412.0,642.03125,718.1015625,851.9375,861.84375,1433.484375,8524850.0,2440.375,1716.23828125,1801.0,2897.09375,1468.90625,2313448.0
120,519.12890625,658.65625,5938.875,1459.13671875,2965.1328125,7478770.0,645.5625,723.8828125,857.625,869.75,1446.046875,8594929.0,2466.75,1727.92578125,1817.375,2898.28125,1479.65625,2332856.0
121,523.69140625,664.6875,5998.625,1467.76171875,2987.1328125,7541362.0,652.59375,729.4453125,863.375,875.3125,1450.796875,8664961.0,2478.0,1742.73828125,1832.875,2922.53125,1490.84375,2352160.0
122,524.56640625,670.09375,6043.875,1479.32421875,3015.1328125,7603287.5,657.78125,734.8515625,870.96875,883.1875,1465.171875,8735442.0,2503.5,1758.11328125,1850.875,2943.40625,1503.96875,2371609.0
123,530.31640625,676.59375,6099.125,1491.76171875,3040.6328125,7665323.0,662.71875,740.7265625,877.53125,891.0,1479.671875,8805718.0,2526.375,1772.73828125,1864.5625,2968.40625,1513.15625,2391127.0
