,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17
158,16128.0,19584.0,26752.0,6400.0,10880.0,24903680.0,972.0,1464.0,5568.0,3200.0,9792.0,21102592.0,10816.0,5696.0,9472.0,11584.0,13888.0,5275648.0
159,16256.0,19584.0,26880.0,6464.0,10944.0,25034752.0,976.0,1480.0,5568.0,3200.0,9856.0,21233664.0,10944.0,5728.0,9536.0,11648.0,14016.0,5308416.0
160,16384.0,19712.0,27136.0,6528.0,11072.0,25165824.0,984.0,1488.0,5600.0,3200.0,9984.0,21364736.0,11008.0,5760.0,9600.0,11712.0,14080.0,5341184.0
161,16512.0,19840.0,27264.0,6592.0,11136.0,25296896.0,988.0,1496.0,5632.0,3216.0,10048.0,21495808.0,11008.0,5792.0,9600.0,11776.0,14144.0,5373952.0
162,16640.0,19968.0,27520.0,6656.0,11200.0,25427968.0,984.0,1496.0,5600.0,3216.0,10112.0,21626880.0,11072.0,5792.0,9600.0,11776.0,14272.0,5406720.0
163,16768.0,20096.0,27648.0,6720.0,11264.0,25559040.0,988.0,1512.0,5632.0,3248.0,10176.0,21757952.0,11136.0,5792.0,9664.0,11904.0,14336.0,5439488.0
164,16896.0,20224.0,27904.0,6784.0,11328.0,25690112.0,996.0,1528.0,5696.0,3264.0,10240.0,21889024.0,11200.0,5824.0,9728.0,11968.0,14400.0,5472256.0
165,17024.0,20224.0,28032.0,6784.0,11392.0,25821184.0,1000.0,1520.0,5696.0,3296.0,10240.0,22020096.0,11264.0,5888.0,9792.0,12160.0,14528.0,5505024.0
166,17152.0,20352.0,28160.0,6848.0,11520.0,25952256.0,1012.0,1536.0,5728.0,3296.0,10304.0,22151168.0,11328.0,5952.0,9856.0,12224.0,14592.0,5537792.0
167,17280.0,20480.0,28416.0,6880.0,11520.0,26083328.0,1024.0,1552.0,5824.0,3328.0,10368.0,22282240.0,11328.0,5952.0,9920.0,12288.0,14656.0,5570560.0
